"Event_Label","Resource_Title","Number of Downloads"
"/meetings/pdfs/ALNAP_workplan_Nov05.pdf","ALNAP_workplan_Nov05.pdf",62
"/pdfs/alnap_vision_full.pdf","alnap_vision_full.pdf",43
"/meetings/may03/alnap_vision_full.pdf","alnap_vision_full.pdf",36
"/pool/files/alnaplessonsurbandisasters.pdf","alnaplessonsurbandisasters.pdf",26
"/pdfs/alnap_guide_2006.pdf","alnap_guide_2006.pdf",14
"/pubs/pdfs/ALNAP-ProVention_SAsia_Quake_Lessonsb.pdf","ALNAP ProVention_SAsia_Quake_Lessonsb.pdf",13
"/meetings/may03/alnap_vision.pdf","alnap_vision.pdf",13
"/publications/pdfs/ALNAP","ALNAP",12
"/pool/files/alnap-provention-lessons-urban.pdf.","alnap provention lessons urban.pdf.",4
"/pool/files/alnap-provention-lessons-urban.pdf--","alnap provention lessons urban.pdf  ",4
"/publications/pdfs/ALNAP-ProVention_lessons_on_slowonset_disasters.pdf.","ALNAP ProVention_lessons_on_slowonset_disasters.pdf.",4
"/pdfs/alnapworkinggroups.pdf","alnapworkinggroups.pdf",3
"/alnap/publications/protection/alnap_protection_guide.pdf","alnap_protection_guide.pdf",3
"/publications/pdfs/ALNAPLessonsEarthquakesChinese.pdf""+id=""uigs2""+onclick=""itmclk(this,3,-1,+'NormalSummary')""+target=""_blank""+name=""dttl","ALNAPLessonsEarthquakesChinese.pdf""+id=""uigs2""+onclick=""itmclk(this,3, 1,+'NormalSummary')""+target=""_blank""+name=""dttl",3
"/publications/pdfs/alnaplessonsfoodpricecrisis.pdf","alnaplessonsfoodpricecrisis.pdf",3
"/publications/ALNAPLessonsUrbanDisasters.pdf","ALNAPLessonsUrbanDisasters.pdf",2
"/pool/files/alnap-lessons-urban.pdf","alnap lessons urban.pdf",2
"/pool/files/alnaplessons_cyclone_nargis.pdf","alnaplessons_cyclone_nargis.pdf",2
"/resource/pool/files/alnap-hpg-sudan-paper.pdf","alnap hpg sudan paper.pdf",2
"/resource/pool/files/alnaplessonsfoodpricecrisis.pdf","alnaplessonsfoodpricecrisis.pdf",2
"/resource/pool/files/alnaplessonsgaza.pdf","alnaplessonsgaza.pdf",2
"/pool/files/alnap-hpg-sudan-paper.pdf.+Accessed+September+17,+2009","alnap hpg sudan paper.pdf.+Accessed+September+17,+2009",2
"/publications/pdfs/alnaplessonsearthquakeschinese.pdf","alnaplessonsearthquakeschinese.pdf",2
"/publications/pdfs/alnaplessonsgaza.pdf","alnaplessonsgaza.pdf",2
"/pulications/protection/alnap_protection_guide.pdf","alnap_protection_guide.pdf",2
"/publications/pdfs/alnap-provention_lessons_on_slow-onset_disasters.pdf","alnap provention_lessons_on_slow onset_disasters.pdf",2
"/pdfs/alnap_handbook.pdf","alnap_handbook.pdf",2
"/publications/pdfs/alnaplessonscyclonenargis.pdf","alnaplessonscyclonenargis.pdf",2
"/publications/pdfs/ALNAPLesssonsCycloneNargis.pdf","ALNAPLesssonsCycloneNargis.pdf",2
"/.../ALNAP-ProVention_lessons_on_slow-onset_disasters.pdf","ALNAP ProVention_lessons_on_slow onset_disasters.pdf",1
